time_s,vehicle_id,x_m,y_m,speed_mps,lane_id,edge_id,warning_received
3.1,3,592.3868911159387,424.5609152981651,0.25260377713479104,:6773282380_0_0,:6773282380_0,False
3.2,1,639.8127994174201,459.3765763992217,4.4311557816186005,:6789351757_4_0,:6789351757_4,False
3.2,2,575.1176730450976,353.12950384482883,2.6777562047881913,466112794#6_0,466112794#6,False
3.2,3,592.3616049847155,424.6012594625886,0.48725522525543347,:6773282380_0_0,:6773282380_0,False
3.3,1,639.5341341363917,459.00252904213653,4.665092348526978,:6789351757_4_0,:6789351757_4,False
3.3,2,575.3011644520561,353.3461154839967,2.839162074324293,466112794#6_0,466112794#6,False
3.3,3,592.3234166206538,424.6621892119906,0.7358769029887859,:6773282380_0_0,:6773282380_0,False
3.4,1,639.2425308730121,458.6111152657881,4.881685109020491,:6789351757_4_0,:6789351757_4,False
3.4,2,575.4934787918753,353.57314259700536,2.9756792920912525,466112794#6_0,466112794#6,False
3.4,3,592.2731555983346,424.74238095546605,0.9685129581719225,:6773282380_0_0,:6773282380_0,False
3.5,1,638.9393709906229,458.20418924915833,5.075152679568437,:6789351757_4_0,:6789351757_4,False
3.5,2,575.697911635791,353.81447560629624,3.163188875230579,466112794#6_0,466112794#6,False
3.5,3,592.2115423314523,424.8406852689189,1.1872668843071905,:6773282380_0_0,:6773282380_0,False
3.6,1,638.609276294381,457.7886570097,5.311374249480013,817119562#3_0,817119562#3,False
3.6,2,575.9176219941804,354.07384372419193,3.39957781792068,466112794#6_0,466112794#6,False
3.6,3,592.1374932719348,424.9588309593849,1.4269004165438492,:6773282380_0_0,:6773282380_0,False
3.7,1,638.2456761340952,457.3717809981141,5.532260716930777,817119562#3_0,817119562#3,False
3.7,2,576.149810582484,354.3479423947627,3.592653437723956,466112794#6_0,466112794#6,False
3.7,3,592.0517904844643,425.0955702382705,1.6514638259774725,:6773282380_0_0,:6773282380_0,False
3.8,1,637.8716065092174,456.94290150270376,5.691556047395151,817119562#3_0,817119562#3,False
3.8,2,576.3987392185137,354.64180269470796,3.8516721537188543,466112794#6_0,466112794#6,False
3.8,3,591.9529783244747,425.2532255946584,1.9040770155294984,:6773282380_0_0,:6773282380_0,False
3.9,1,637.4820460230973,456.4962613758193,5.927253091794718,817119562#3_0,817119562#3,False
3.9,2,576.6605409916782,354.95085973537357,4.050858171942263,466112794#6_0,466112794#6,False
3.9,3,591.8460486586812,425.4238324771603,2.06049861613268,:6773282380_0_0,:6773282380_0,False
4.0,1,637.0816218561577,456.03716578706815,6.092546513535361,817119562#3_0,817119562#3,False
4.0,2,576.9334376666646,355.2730143096509,4.222529559686399,466112794#6_0,466112794#6,False
4.0,3,591.7283024851447,425.6116971585331,2.2689290743265134,:6773282380_0_0,:6773282380_0,False
4.0,4,757.3026514611546,441.7829294369209,0.0,1278204168#0_0,1278204168#0,False
4.1,1,636.6668708452246,455.5616441395993,6.310532765687256,817119562#3_0,817119562#3,False
4.1,2,577.2224053789412,355.6141407463615,4.471196678899314,466112794#6_0,466112794#6,False
4.1,3,591.6030654206082,425.8115135985801,2.4132760188772835,:6773282380_0_0,:6773282380_0,False
4.1,4,757.2910593244392,441.80541061030215,0.25293573579750955,1278204168#0_0,1278204168#0,False
4.2,1,636.2404284058048,455.07271799837713,6.488420560046377,817119562#3_0,817119562#3,False
4.2,2,577.5269959954527,355.9737100243528,4.712929836489811,466112794#6_0,466112794#6,False
4.2,3,591.4675253754514,426.02776850208886,2.6118109825181333,:6773282380_0_0,:6773282380_0,False
4.2,4,757.2683401705958,441.84947092887563,0.49572275026920976,1278204168#0_0,1278204168#0,False
